"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Guinea","1986","Female","Not applicable","Percent","5.04727"
"Guinea","1986","All genders","Not applicable","Percent","9.01633"
"Guinea","1986","Male","Not applicable","Percent","13.01287"
"Guinea-Bissau","2000","Female","Not applicable","Percent","5.85816"
"Guinea-Bissau","2000","Male","Not applicable","Percent","10.42756"
"Guinea-Bissau","2000","All genders","Not applicable","Percent","8.1311"
"Guinea-Bissau","1984","All genders","Not applicable","Percent","3.23556"
"Guinea-Bissau","1984","Male","Not applicable","Percent","5.23024"
"Guinea-Bissau","1984","Female","Not applicable","Percent","1.26313"
"Guinea-Bissau","1982","Female","Not applicable","Percent","1.16531"
"Guinea-Bissau","1982","Male","Not applicable","Percent","5.23353"
"Guinea-Bissau","1982","All genders","Not applicable","Percent","3.18599"
"Guinea-Bissau","1981","All genders","Not applicable","Percent","2.48411"
"Guinea-Bissau","1981","Male","Not applicable","Percent","3.79405"
"Guinea-Bissau","1981","Female","Not applicable","Percent","1.19179"
"Guyana","2011","Female","Not applicable","Percent","82.62685"
"Guyana","2011","Male","Not applicable","Percent","82.33278"
"Guyana","2011","All genders","Not applicable","Percent","82.48106"
"Guyana","2009","All genders","Not applicable","Percent","77.00129"
"Guyana","2009","Male","Not applicable","Percent","78.86635"
"Guyana","2009","Female","Not applicable","Percent","75.21299"
"Guyana","1999","Female","Not applicable","Percent","72.68912"
"Guyana","1999","Male","Not applicable","Percent","73.22301"
"Guyana","1999","All genders","Not applicable","Percent","72.95457"
"Holy See","2015","Female","Not applicable","Percent","0"
"Holy See","2015","Male","Not applicable","Percent","0"
"Holy See","2015","All genders","Not applicable","Percent","0"
"Holy See","2014","All genders","Not applicable","Percent","0"
"Holy See","2014","Male","Not applicable","Percent","0"
"Holy See","2014","Female","Not applicable","Percent","0"
"Holy See","2013","Female","Not applicable","Percent","0"
"Holy See","2013","Male","Not applicable","Percent","0"
"Holy See","2013","All genders","Not applicable","Percent","0"
"Holy See","2012","All genders","Not applicable","Percent","0"
"Holy See","2012","Male","Not applicable","Percent","0"
"Holy See","2012","Female","Not applicable","Percent","0"
"Holy See","2011","Female","Not applicable","Percent","0"
"Holy See","2011","Male","Not applicable","Percent","0"
"Holy See","2011","All genders","Not applicable","Percent","0"
"Holy See","2010","All genders","Not applicable","Percent","0"
"Holy See","2010","Male","Not applicable","Percent","0"
"Holy See","2010","Female","Not applicable","Percent","0"
"Holy See","2009","Female","Not applicable","Percent","0"
"Holy See","2009","Male","Not applicable","Percent","0"
"Holy See","2009","All genders","Not applicable","Percent","0"
"Holy See","2008","All genders","Not applicable","Percent","0"
"Holy See","2008","Male","Not applicable","Percent","0"
"Holy See","2008","Female","Not applicable","Percent","0"
"Holy See","2007","Female","Not applicable","Percent","0"
"Holy See","2007","Male","Not applicable","Percent","0"
"Holy See","2007","All genders","Not applicable","Percent","0"
"Holy See","2006","All genders","Not applicable","Percent","0"
"Holy See","2006","Male","Not applicable","Percent","0"
"Holy See","2006","Female","Not applicable","Percent","0"
"Holy See","2005","Female","Not applicable","Percent","0"
"Holy See","2005","Male","Not applicable","Percent","0"
"Holy See","2005","All genders","Not applicable","Percent","0"
"Holy See","2004","All genders","Not applicable","Percent","0"
"Holy See","2004","Female","Not applicable","Percent","0"
"Holy See","2004","Male","Not applicable","Percent","0"
"Holy See","2003","Male","Not applicable","Percent","0"
"Holy See","2003","Female","Not applicable","Percent","0"
"Holy See","2003","All genders","Not applicable","Percent","0"
"Holy See","2002","All genders","Not applicable","Percent","0"
"Holy See","2002","Female","Not applicable","Percent","0"
"Holy See","2002","Male","Not applicable","Percent","0"
"Holy See","2001","Male","Not applicable","Percent","0"
"Holy See","2001","Female","Not applicable","Percent","0"
"Holy See","2001","All genders","Not applicable","Percent","0"
"Holy See","2000","All genders","Not applicable","Percent","0"
"Holy See","2000","Female","Not applicable","Percent","0"
"Holy See","2000","Male","Not applicable","Percent","0"
"Holy See","1999","Male","Not applicable","Percent","0"
"Holy See","1999","Female","Not applicable","Percent","0"
"Holy See","1999","All genders","Not applicable","Percent","0"
"Holy See","1998","All genders","Not applicable","Percent","0"
"Holy See","1998","Female","Not applicable","Percent","0"
"Holy See","1998","Male","Not applicable","Percent","0"
"Holy See","1997","Male","Not applicable","Percent","0"
"Holy See","1997","Female","Not applicable","Percent","0"
"Holy See","1997","All genders","Not applicable","Percent","0"
"Holy See","1996","All genders","Not applicable","Percent","0"
"Holy See","1996","Female","Not applicable","Percent","0"
"Holy See","1996","Male","Not applicable","Percent","0"
"Holy See","1995","Male","Not applicable","Percent","0"
"Holy See","1995","Female","Not applicable","Percent","0"
"Holy See","1995","All genders","Not applicable","Percent","0"
"Holy See","1994","All genders","Not applicable","Percent","0"
"Holy See","1994","Female","Not applicable","Percent","0"
"Holy See","1994","Male","Not applicable","Percent","0"
"Holy See","1993","Male","Not applicable","Percent","0"
"Holy See","1993","Female","Not applicable","Percent","0"
"Holy See","1993","All genders","Not applicable","Percent","0"
"Holy See","1992","All genders","Not applicable","Percent","0"
"Holy See","1992","Female","Not applicable","Percent","0"
"Holy See","1992","Male","Not applicable","Percent","0"
"Holy See","1991","Male","Not applicable","Percent","0"
"Holy See","1991","Female","Not applicable","Percent","0"
"Holy See","1991","All genders","Not applicable","Percent","0"
"Holy See","1990","All genders","Not applicable","Percent","0"
"Holy See","1990","Female","Not applicable","Percent","0"
"Holy See","1990","Male","Not applicable","Percent","0"
"Holy See","1989","Male","Not applicable","Percent","0"
"Holy See","1989","Female","Not applicable","Percent","0"
"Holy See","1989","All genders","Not applicable","Percent","0"
"Holy See","1988","All genders","Not applicable","Percent","0"
"Holy See","1988","Female","Not applicable","Percent","0"
"Holy See","1988","Male","Not applicable","Percent","0"
"Holy See","1987","Male","Not applicable","Percent","0"
"Holy See","1987","Female","Not applicable","Percent","0"
"Holy See","1987","All genders","Not applicable","Percent","0"
"Holy See","1986","All genders","Not applicable","Percent","0"
"Holy See","1986","Female","Not applicable","Percent","0"
"Holy See","1986","Male","Not applicable","Percent","0"
"Holy See","1985","Male","Not applicable","Percent","0"
"Holy See","1985","Female","Not applicable","Percent","0"
"Holy See","1985","All genders","Not applicable","Percent","0"
"Holy See","1984","All genders","Not applicable","Percent","0"
"Holy See","1984","Female","Not applicable","Percent","0"
"Holy See","1984","Male","Not applicable","Percent","0"
"Holy See","1983","Female","Not applicable","Percent","0"
"Holy See","1983","Male","Not applicable","Percent","0"
"Holy See","1983","All genders","Not applicable","Percent","0"
"Holy See","1982","All genders","Not applicable","Percent","0"
"Holy See","1982","Male","Not applicable","Percent","0"
"Holy See","1982","Female","Not applicable","Percent","0"
"Holy See","1981","Female","Not applicable","Percent","0"
"Holy See","1981","Male","Not applicable","Percent","0"
"Holy See","1981","All genders","Not applicable","Percent","0"
"Holy See","1980","All genders","Not applicable","Percent","0"
"Holy See","1980","Male","Not applicable","Percent","0"
"Holy See","1980","Female","Not applicable","Percent","0"
"Holy See","1979","Female","Not applicable","Percent","0"
"Holy See","1979","Male","Not applicable","Percent","0"
"Holy See","1979","All genders","Not applicable","Percent","0"
"Holy See","1978","All genders","Not applicable","Percent","0"
"Holy See","1978","Male","Not applicable","Percent","0"
"Holy See","1978","Female","Not applicable","Percent","0"
"Holy See","1977","Female","Not applicable","Percent","0"
"Holy See","1977","Male","Not applicable","Percent","0"
"Holy See","1977","All genders","Not applicable","Percent","0"
"Holy See","1976","All genders","Not applicable","Percent","0"
"Holy See","1976","Male","Not applicable","Percent","0"
"Holy See","1976","Female","Not applicable","Percent","0"
"Holy See","1975","Female","Not applicable","Percent","0"
"Holy See","1975","Male","Not applicable","Percent","0"
"Holy See","1975","All genders","Not applicable","Percent","0"
"Honduras","2014","All genders","Not applicable","Percent","49.25936"
"Honduras","2014","Male","Not applicable","Percent","45.67145"
"Honduras","2014","Female","Not applicable","Percent","52.9585"
"Honduras","2013","Female","Not applicable","Percent","52.41791"
"Honduras","2013","Male","Not applicable","Percent","44.54217"
"Honduras","2013","All genders","Not applicable","Percent","48.42148"
"Honduras","1991","All genders","Not applicable","Percent","20.50554"
"Honduras","1983","All genders","Not applicable","Percent","24.44887"
"Honduras","1983","Male","Not applicable","Percent","23.1704"
"Honduras","1983","Female","Not applicable","Percent","25.74461"
"Hong Kong Special Administrative Region of China","2014","Female","Not applicable","Percent","87.82826"
"Hong Kong Special Administrative Region of China","2014","Male","Not applicable","Percent","88.54756"
"Hong Kong Special Administrative Region of China","2014","All genders","Not applicable","Percent","88.19868"
"Hong Kong Special Administrative Region of China","2013","All genders","Not applicable","Percent","88.39324"
"Hong Kong Special Administrative Region of China","2013","Male","Not applicable","Percent","88.60879"
"Hong Kong Special Administrative Region of China","2013","Female","Not applicable","Percent","88.16462"
"Hong Kong Special Administrative Region of China","2012","Female","Not applicable","Percent","90.09109"
"Hong Kong Special Administrative Region of China","2012","Male","Not applicable","Percent","90.09907"
"Hong Kong Special Administrative Region of China","2012","All genders","Not applicable","Percent","90.0952"
"Hong Kong Special Administrative Region of China","2011","All genders","Not applicable","Percent","79.00348"
"Hong Kong Special Administrative Region of China","2011","Male","Not applicable","Percent","79.20117"
"Hong Kong Special Administrative Region of China","2011","Female","Not applicable","Percent","78.79437"
"Hong Kong Special Administrative Region of China","2010","Female","Not applicable","Percent","79.64896"
"Hong Kong Special Administrative Region of China","2010","Male","Not applicable","Percent","80.04095"
"Hong Kong Special Administrative Region of China","2010","All genders","Not applicable","Percent","79.84986"
"Hong Kong Special Administrative Region of China","2009","All genders","Not applicable","Percent","78.30385"
"Hong Kong Special Administrative Region of China","2009","Male","Not applicable","Percent","78.35907"
"Hong Kong Special Administrative Region of China","2009","Female","Not applicable","Percent","78.24604"
"Hong Kong Special Administrative Region of China","2008","Female","Not applicable","Percent","76.79241"
"Hong Kong Special Administrative Region of China","2008","Male","Not applicable","Percent","76.94637"
"Hong Kong Special Administrative Region of China","2008","All genders","Not applicable","Percent","76.8711"
"Hong Kong Special Administrative Region of China","2007","All genders","Not applicable","Percent","75.35997"
"Hong Kong Special Administrative Region of China","2007","Male","Not applicable","Percent","75.4027"
"Hong Kong Special Administrative Region of China","2007","Female","Not applicable","Percent","75.31529"
"Hong Kong Special Administrative Region of China","2006","Female","Not applicable","Percent","74.08139"
"Hong Kong Special Administrative Region of China","2006","Male","Not applicable","Percent","73.74723"
"Hong Kong Special Administrative Region of China","2006","All genders","Not applicable","Percent","73.91048"
"Hong Kong Special Administrative Region of China","2005","All genders","Not applicable","Percent","73.35716"
"Hong Kong Special Administrative Region of China","2005","Male","Not applicable","Percent","73.17831"
"Hong Kong Special Administrative Region of China","2005","Female","Not applicable","Percent","73.54337"
"Hong Kong Special Administrative Region of China","2004","Female","Not applicable","Percent","72.14772"
"Hong Kong Special Administrative Region of China","2004","Male","Not applicable","Percent","72.15929"
"Hong Kong Special Administrative Region of China","2004","All genders","Not applicable","Percent","72.15361"
"Hong Kong Special Administrative Region of China","2003","All genders","Not applicable","Percent","70.89796"
"Hong Kong Special Administrative Region of China","2003","Male","Not applicable","Percent","70.9663"
"Hong Kong Special Administrative Region of China","2003","Female","Not applicable","Percent","70.8275"
"Hong Kong Special Administrative Region of China","2002","Female","Not applicable","Percent","69.7528"
"Hong Kong Special Administrative Region of China","2002","Male","Not applicable","Percent","70.37518"
"Hong Kong Special Administrative Region of China","2002","All genders","Not applicable","Percent","70.06913"
"Hong Kong Special Administrative Region of China","2001","All genders","Not applicable","Percent","69.98358"
"Hong Kong Special Administrative Region of China","2001","Male","Not applicable","Percent","70.03609"
"Hong Kong Special Administrative Region of China","2001","Female","Not applicable","Percent","69.92858"
"Hong Kong Special Administrative Region of China","1996","Female","Not applicable","Percent","76.16586"
"Hong Kong Special Administrative Region of China","1996","Male","Not applicable","Percent","73.76673"
"Hong Kong Special Administrative Region of China","1996","All genders","Not applicable","Percent","74.92599"
"Hong Kong Special Administrative Region of China","1985","All genders","Not applicable","Percent","67.8223"
"Hong Kong Special Administrative Region of China","1985","Male","Not applicable","Percent","65.45084"
"Hong Kong Special Administrative Region of China","1985","Female","Not applicable","Percent","70.37248"
"Hong Kong Special Administrative Region of China","1984","Female","Not applicable","Percent","68.03203"
"Hong Kong Special Administrative Region of China","1984","Male","Not applicable","Percent","62.49885"
"Hong Kong Special Administrative Region of China","1984","All genders","Not applicable","Percent","65.17"
"Hong Kong Special Administrative Region of China","1983","All genders","Not applicable","Percent","63.32222"
"Hong Kong Special Administrative Region of China","1983","Male","Not applicable","Percent","60.6089"
"Hong Kong Special Administrative Region of China","1983","Female","Not applicable","Percent","66.22909"
"Hong Kong Special Administrative Region of China","1981","Female","Not applicable","Percent","60.38784"
"Hong Kong Special Administrative Region of China","1981","Male","Not applicable","Percent","56.23093"
"Hong Kong Special Administrative Region of China","1981","All genders","Not applicable","Percent","58.22168"
"Hong Kong Special Administrative Region of China","1980","All genders","Not applicable","Percent","55.68072"
"Hong Kong Special Administrative Region of China","1980","Male","Not applicable","Percent","54.41175"
"Hong Kong Special Administrative Region of China","1980","Female","Not applicable","Percent","57.0715"
"Hong Kong Special Administrative Region of China","1979","Female","Not applicable","Percent","53.99973"
"Hong Kong Special Administrative Region of China","1979","Male","Not applicable","Percent","51.90666"
"Hong Kong Special Administrative Region of China","1979","All genders","Not applicable","Percent","52.90448"
"Hong Kong Special Administrative Region of China","1978","All genders","Not applicable","Percent","49.83469"
"Hong Kong Special Administrative Region of China","1978","Male","Not applicable","Percent","50.05941"
"Hong Kong Special Administrative Region of China","1978","Female","Not applicable","Percent","49.58929"
"Hong Kong Special Administrative Region of China","1977","Female","Not applicable","Percent","46.50821"
"Hong Kong Special Administrative Region of China","1977","Male","Not applicable","Percent","48.74462"
"Hong Kong Special Administrative Region of China","1977","All genders","Not applicable","Percent","47.66802"
"Hong Kong Special Administrative Region of China","1976","All genders","Not applicable","Percent","45.87867"
"Hong Kong Special Administrative Region of China","1976","Male","Not applicable","Percent","47.47569"
"Hong Kong Special Administrative Region of China","1976","Female","Not applicable","Percent","44.19636"
"Hong Kong Special Administrative Region of China","1975","Female","Not applicable","Percent","40.88039"
"Hong Kong Special Administrative Region of China","1975","Male","Not applicable","Percent","45.79946"
"Hong Kong Special Administrative Region of China","1975","All genders","Not applicable","Percent","43.41506"
"Hungary","2014","All genders","Not applicable","Percent","92.19537"
"Hungary","2014","Female","Not applicable","Percent","92.12481"
"Hungary","2014","Male","Not applicable","Percent","92.26244"
"Hungary","2013","Male","Not applicable","Percent","92.84803"
"Hungary","2013","All genders","Not applicable","Percent","92.65664"
"Hungary","2013","Female","Not applicable","Percent","92.45547"
"Hungary","2012","Female","Not applicable","Percent","92.12533"
"Hungary","2012","All genders","Not applicable","Percent","92.39269"
"Hungary","2012","Male","Not applicable","Percent","92.64724"
"Hungary","2011","Male","Not applicable","Percent","92.32542"
"Hungary","2011","All genders","Not applicable","Percent","92.02006"
"Hungary","2011","Female","Not applicable","Percent","91.69953"
"Hungary","2010","Female","Not applicable","Percent","91.52872"
"Hungary","2010","All genders","Not applicable","Percent","91.71037"
"Hungary","2010","Male","Not applicable","Percent","91.88367"
"Hungary","2009","Male","Not applicable","Percent","90.96244"
"Hungary","2009","All genders","Not applicable","Percent","90.69811"
"Hungary","2009","Female","Not applicable","Percent","90.42147"
"Hungary","2008","Female","Not applicable","Percent","89.79755"
"Hungary","2008","All genders","Not applicable","Percent","90.17823"
"Hungary","2008","Male","Not applicable","Percent","90.54242"
"Hungary","2007","Male","Not applicable","Percent","89.95939"
"Hungary","2007","All genders","Not applicable","Percent","89.9137"
"Hungary","2007","Female","Not applicable","Percent","89.86599"
"Hungary","2006","Female","Not applicable","Percent","89.81645"
"Hungary","2006","All genders","Not applicable","Percent","89.91464"
"Hungary","2006","Male","Not applicable","Percent","90.00871"
"Hungary","2005","Male","Not applicable","Percent","90.08992"
"Hungary","2005","All genders","Not applicable","Percent","89.93223"
"Hungary","2005","Female","Not applicable","Percent","89.76781"
"Hungary","2004","Female","Not applicable","Percent","88.9842"
"Hungary","2004","All genders","Not applicable","Percent","89.7043"
"Hungary","2004","Male","Not applicable","Percent","90.39523"
"Hungary","2003","Male","Not applicable","Percent","90.67806"
"Hungary","2003","All genders","Not applicable","Percent","90.57534"
"Hungary","2003","Female","Not applicable","Percent","90.46829"
"Hungary","2002","Female","Not applicable","Percent","89.01069"
"Hungary","2002","All genders","Not applicable","Percent","89.03592"
"Hungary","2002","Male","Not applicable","Percent","89.06011"
"Hungary","2001","Male","Not applicable","Percent","87.27229"
"Hungary","2001","All genders","Not applicable","Percent","87.46241"
"Hungary","2001","Female","Not applicable","Percent","87.66087"
"Hungary","2000","Female","Not applicable","Percent","85.42852"
"Hungary","2000","Male","Not applicable","Percent","84.76375"
"Hungary","2000","All genders","Not applicable","Percent","85.08893"
"Hungary","1999","All genders","Not applicable","Percent","83.5428"
"Hungary","1999","Male","Not applicable","Percent","83.06347"
"Hungary","1999","Female","Not applicable","Percent","84.04372"
"Hungary","1998","Female","Not applicable","Percent","82.30835"
"Hungary","1998","Male","Not applicable","Percent","80.97112"
"Hungary","1998","All genders","Not applicable","Percent","81.62467"
"Hungary","1997","All genders","Not applicable","Percent","81.58241"
"Hungary","1997","Female","Not applicable","Percent","82.62188"
"Hungary","1997","Male","Not applicable","Percent","80.58987"
"Iceland","2012","All genders","Not applicable","Percent","88.08198"
"Iceland","2012","Female","Not applicable","Percent","88.48022"
"Iceland","2012","Male","Not applicable","Percent","87.70275"
"Iceland","2011","Male","Not applicable","Percent","87.95449"
"Iceland","2011","Female","Not applicable","Percent","88.83765"
"Iceland","2011","All genders","Not applicable","Percent","88.38543"
"Iceland","2010","All genders","Not applicable","Percent","89.50453"
"Iceland","2010","Female","Not applicable","Percent","90.33212"
"Iceland","2010","Male","Not applicable","Percent","88.71654"
"Iceland","2009","Male","Not applicable","Percent","87.06518"
"Iceland","2009","Female","Not applicable","Percent","89.39996"
"Iceland","2009","All genders","Not applicable","Percent","88.20398"
"Iceland","2008","All genders","Not applicable","Percent","89.34013"
"Iceland","2008","Female","Not applicable","Percent","90.59611"
"Iceland","2008","Male","Not applicable","Percent","88.14424"
"Iceland","2007","Male","Not applicable","Percent","87.92667"
"Iceland","2007","Female","Not applicable","Percent","90.84722"
"Iceland","2007","All genders","Not applicable","Percent","89.35121"
"Iceland","2006","All genders","Not applicable","Percent","89.33781"
"Iceland","2006","Female","Not applicable","Percent","90.33816"
"Iceland","2006","Male","Not applicable","Percent","88.38572"
"Iceland","2005","Male","Not applicable","Percent","87.5743"
"Iceland","2005","Female","Not applicable","Percent","90.17791"
"Iceland","2005","All genders","Not applicable","Percent","88.84414"
"Iceland","2004","All genders","Not applicable","Percent","88.12107"
"Iceland","2004","Female","Not applicable","Percent","89.60211"
"Iceland","2004","Male","Not applicable","Percent","86.70931"
"Iceland","2003","Male","Not applicable","Percent","84.90075"
"Iceland","2003","Female","Not applicable","Percent","88.36433"
"Iceland","2003","All genders","Not applicable","Percent","86.593"
"Iceland","2002","All genders","Not applicable","Percent","84.9753"
"Iceland","2002","Female","Not applicable","Percent","86.42161"
"Iceland","2002","Male","Not applicable","Percent","83.58931"
"Iceland","2001","Male","Not applicable","Percent","80.90558"
"Iceland","2001","Female","Not applicable","Percent","84.12839"
"Iceland","2001","All genders","Not applicable","Percent","82.48539"
"Iceland","2000","Female","Not applicable","Percent","85.06944"
"Iceland","2000","Male","Not applicable","Percent","80.61064"
"Iceland","2000","All genders","Not applicable","Percent","82.79965"
"Iceland","1999","All genders","Not applicable","Percent","84.26627"
"Iceland","1999","Male","Not applicable","Percent","82.26147"
"Iceland","1999","Female","Not applicable","Percent","86.34193"
"Iceland","1998","Female","Not applicable","Percent","86.84841"
"Iceland","1998","Male","Not applicable","Percent","85.46754"
"Iceland","1998","All genders","Not applicable","Percent","86.14608"
"Iceland","1977","All genders","Not applicable","Percent","72.2815"
"India","2013","All genders","Not applicable","Percent","61.75524"
"India","2013","Female","Not applicable","Percent","62.17792"
"India","2013","Male","Not applicable","Percent","61.3752"
"Indonesia","2014","Male","Not applicable","Percent","75.33112"
"Indonesia","2014","Female","Not applicable","Percent","74.68957"
"Indonesia","2014","All genders","Not applicable","Percent","75.01837"
"Indonesia","2013","All genders","Not applicable","Percent","75.22543"
"Indonesia","2013","Female","Not applicable","Percent","74.20577"
"Indonesia","2013","Male","Not applicable","Percent","76.19769"
"Indonesia","2012","Male","Not applicable","Percent","73.05629"
"Indonesia","2012","Female","Not applicable","Percent","75.26387"
"Indonesia","2012","All genders","Not applicable","Percent","74.13554"
"Indonesia","2011","All genders","Not applicable","Percent","73.0074"
"Indonesia","2011","Female","Not applicable","Percent","73.20384"
"Indonesia","2011","Male","Not applicable","Percent","72.81863"
"Indonesia","2010","Male","Not applicable","Percent","66.86511"
"Indonesia","2010","Female","Not applicable","Percent","66.62727"
"Indonesia","2010","All genders","Not applicable","Percent","66.74833"
"Indonesia","2009","All genders","Not applicable","Percent","64.85774"
"Indonesia","2009","Female","Not applicable","Percent","64.37311"
"Indonesia","2009","Male","Not applicable","Percent","65.32665"
"Indonesia","2008","Male","Not applicable","Percent","64.32087"
"Indonesia","2008","Female","Not applicable","Percent","63.85872"
"Indonesia","2008","All genders","Not applicable","Percent","64.09342"
"Indonesia","2007","All genders","Not applicable","Percent","64.85776"
"Indonesia","2007","Female","Not applicable","Percent","65.05938"
"Indonesia","2007","Male","Not applicable","Percent","64.66245"
"Indonesia","2006","Male","Not applicable","Percent","57.29479"
"Indonesia","2006","Female","Not applicable","Percent","57.77433"
"Indonesia","2006","All genders","Not applicable","Percent","57.53042"
"Indonesia","2005","All genders","Not applicable","Percent","53.37736"
"Indonesia","2005","Female","Not applicable","Percent","53.10364"
"Indonesia","2005","Male","Not applicable","Percent","53.64268"
"Indonesia","2004","Male","Not applicable","Percent","55.1146"
"Indonesia","2004","Female","Not applicable","Percent","54.67789"
"Indonesia","2004","All genders","Not applicable","Percent","54.89939"
"Indonesia","2003","All genders","Not applicable","Percent","53.48204"
"Indonesia","2003","Female","Not applicable","Percent","53.11994"
"Indonesia","2003","Male","Not applicable","Percent","53.83425"
"Indonesia","2002","Male","Not applicable","Percent","51.1279"
"Indonesia","2002","Female","Not applicable","Percent","50.50818"
"Indonesia","2002","All genders","Not applicable","Percent","50.8224"
"Indonesia","2001","All genders","Not applicable","Percent","49.60582"
"Indonesia","2001","Female","Not applicable","Percent","49.28942"
"Indonesia","2001","Male","Not applicable","Percent","49.91282"
"Indonesia","1995","Male","Not applicable","Percent","44.81753"
"Indonesia","1995","Female","Not applicable","Percent","38.76664"
"Indonesia","1995","All genders","Not applicable","Percent","41.83387"
"Indonesia","1987","All genders","Not applicable","Percent","42.06826"
"Indonesia","1978","All genders","Not applicable","Percent","20.86516"
"Indonesia","1978","Female","Not applicable","Percent","17.05304"
"Indonesia","1978","Male","Not applicable","Percent","24.57266"
"Indonesia","1977","Male","Not applicable","Percent","23.30311"
"Indonesia","1977","Female","Not applicable","Percent","15.87067"
"Indonesia","1977","All genders","Not applicable","Percent","19.63873"
"Indonesia","1976","All genders","Not applicable","Percent","19.30793"
"Indonesia","1976","Female","Not applicable","Percent","15.37167"
"Indonesia","1976","Male","Not applicable","Percent","23.13485"
"Indonesia","1975","Female","Not applicable","Percent","14.61501"
"Indonesia","1975","All genders","Not applicable","Percent","18.44146"
"Indonesia","1975","Male","Not applicable","Percent","22.16144"
"Iran, Islamic Republic of","2014","All genders","Not applicable","Percent","80.7312"
"Iran, Islamic Republic of","2014","Female","Not applicable","Percent","81.12379"
"Iran, Islamic Republic of","2014","Male","Not applicable","Percent","80.37176"
"Iran, Islamic Republic of","2013","Male","Not applicable","Percent","81.42684"
"Iran, Islamic Republic of","2013","Female","Not applicable","Percent","78.99145"
"Iran, Islamic Republic of","2013","All genders","Not applicable","Percent","80.26012"
"Iran, Islamic Republic of","2012","All genders","Not applicable","Percent","82.96468"
"Iran, Islamic Republic of","2012","Female","Not applicable","Percent","82.54957"
"Iran, Islamic Republic of","2012","Male","Not applicable","Percent","83.34816"
"Iran, Islamic Republic of","2011","Male","Not applicable","Percent","80.84812"
"Iran, Islamic Republic of","2011","Female","Not applicable","Percent","80.39195"
"Iran, Islamic Republic of","2011","All genders","Not applicable","Percent","80.62898"
"Iran, Islamic Republic of","2010","All genders","Not applicable","Percent","77.63697"
"Iran, Islamic Republic of","2010","Female","Not applicable","Percent","77.16691"
"Iran, Islamic Republic of","2010","Male","Not applicable","Percent","78.07585"
"Iran, Islamic Republic of","2009","Male","Not applicable","Percent","79.06969"
"Iran, Islamic Republic of","2009","Female","Not applicable","Percent","77.78824"
"Iran, Islamic Republic of","2009","All genders","Not applicable","Percent","78.44788"
"Iraq","2007","Male","Not applicable","Percent","49.40001"
"Iraq","2007","Female","Not applicable","Percent","39.89099"
"Iraq","2007","All genders","Not applicable","Percent","44.77845"
"Iraq","2004","All genders","Not applicable","Percent","40.31026"
"Iraq","2004","Female","Not applicable","Percent","33.58499"
"Iraq","2004","Male","Not applicable","Percent","46.64846"
"Iraq","2003","Male","Not applicable","Percent","40.20972"
"Iraq","2003","All genders","Not applicable","Percent","35.71121"
"Iraq","2003","Female","Not applicable","Percent","30.93804"
"Iraq","2000","Female","Not applicable","Percent","25.57117"
"Iraq","2000","All genders","Not applicable","Percent","32.2628"
"Iraq","2000","Male","Not applicable","Percent","38.58633"
"Iraq","1999","Male","Not applicable","Percent","36.32723"
"Iraq","1999","All genders","Not applicable","Percent","30.39877"
"Iraq","1999","Female","Not applicable","Percent","24.13259"
"Iraq","1993","Female","Not applicable","Percent","28.12386"
"Iraq","1993","All genders","Not applicable","Percent","35.19344"
"Iraq","1993","Male","Not applicable","Percent","41.91142"
"Iraq","1989","Male","Not applicable","Percent","46.64421"
"Iraq","1989","All genders","Not applicable","Percent","38.53873"
"Iraq","1989","Female","Not applicable","Percent","30.04423"
"Iraq","1988","Female","Not applicable","Percent","30.03415"
"Iraq","1988","All genders","Not applicable","Percent","39.25316"
"Iraq","1988","Male","Not applicable","Percent","48.06869"
"Iraq","1987","Male","Not applicable","Percent","50.40904"
"Iraq","1987","All genders","Not applicable","Percent","40.59591"
"Iraq","1987","Female","Not applicable","Percent","30.34351"
"Iraq","1985","Female","Not applicable","Percent","29.66995"
"Iraq","1985","All genders","Not applicable","Percent","40.53621"
"Iraq","1985","Male","Not applicable","Percent","50.95093"
"Iraq","1982","All genders","Not applicable","Percent","45.0735"
"Iraq","1982","Female","Not applicable","Percent","30.90681"
"Iraq","1982","Male","Not applicable","Percent","58.58821"
"Iraq","1981","Male","Not applicable","Percent","57.59014"
"Iraq","1981","Female","Not applicable","Percent","29.11126"
"Iraq","1981","All genders","Not applicable","Percent","43.72145"
"Iraq","1980","All genders","Not applicable","Percent","43.18237"
"Iraq","1980","Female","Not applicable","Percent","27.28189"
"Iraq","1980","Male","Not applicable","Percent","58.26141"
"Iraq","1979","Male","Not applicable","Percent","54.01828"
"Iraq","1979","Female","Not applicable","Percent","24.54907"
"Iraq","1979","All genders","Not applicable","Percent","39.67223"
"Iraq","1978","All genders","Not applicable","Percent","34.34777"
"Iraq","1978","Female","Not applicable","Percent","21.15321"
"Iraq","1978","Male","Not applicable","Percent","46.87813"
"Iraq","1977","Male","Not applicable","Percent","38.69248"
"Iraq","1977","Female","Not applicable","Percent","18.0346"
"Iraq","1977","All genders","Not applicable","Percent","28.62422"
"Iraq","1976","All genders","Not applicable","Percent","26.26116"
"Iraq","1976","Female","Not applicable","Percent","16.283"
"Iraq","1976","Male","Not applicable","Percent","35.75575"
"Iraq","1975","Male","Not applicable","Percent","35.0455"
"Iraq","1975","All genders","Not applicable","Percent","25.77162"
"Iraq","1975","Female","Not applicable","Percent","16.03318"
